publisher_id,sum(bid_price)
983,77.76379999999999
229,80.90549999999999
165,76.72899999999998
869,103.31330000000001
953,82.7711
326,82.5886
719,115.1059
341,71.4265
728,97.0359
457,82.0255
956,65.5241
235,53.0455
517,70.1378
619,59.68700000000001
1044,65.55160000000001
96,54.474500000000006
323,78.67569999999999
37,112.49289999999999
880,112.7596
379,90.9714
713,59.857
907,56.4112
970,91.23909999999998
723,58.020599999999995
859,70.3173
710,65.0001
85,76.4672
958,93.6135
806,68.3718
715,64.68229999999998
512,61.69070000000001
587,58.239
237,82.65810000000002
194,58.8676
408,64.658
802,96.69770000000001
224,77.7676
64,73.6444
557,76.8553
205,56.8194
772,85.44579999999999
496,98.1996
676,84.24170000000001
602,64.9435
54,54.274100000000004
915,111.7529
409,143.4325
547,69.5842
780,87.7686
760,71.34899999999999
168,57.08709999999999
823,70.75439999999999
693,83.84060000000001
255,56.263299999999994
1086,68.3774
62,57.784000000000006
865,65.4289
189,44.0945
35,63.4704
444,60.3395
741,41.3662
257,94.96730000000001
264,76.1997
44,80.358
973,66.2903
383,53.793299999999995
928,67.60499999999999
684,110.96610000000001
550,87.2291
9,68.62670000000001
854,76.17620000000001
486,98.1767
1102,45.19290000000001
65,105.62849999999999
897,64.4699
371,109.41210000000001
184,131.1917
332,88.12440000000001
788,86.487
498,81.6488
726,76.5437
1031,90.6978
500,34.315
198,113.78979999999999
812,66.6489
17,67.8239
360,73.5227
482,55.93809999999999
172,52.0369
944,64.6293
5,101.571
813,104.42259999999999
143,52.6348
875,56.4811
135,89.23909999999998
114,123.8441
30,63.7299
423,48.72560000000001
774,75.60849999999999
287,60.077400000000004
747,74.67150000000001
374,99.5559
458,82.81519999999999
594,75.4109
513,55.100699999999996
506,83.2469
115,69.47789999999999
987,101.95849999999999
702,139.507
154,31.2541
857,64.2818
213,103.2843
1004,90.60140000000001
949,78.41199999999999
160,78.58680000000001
612,97.0523
75,37.879099999999994
104,85.25399999999999
422,54.6091
225,76.61630000000001
273,55.625699999999995
561,56.8715
967,49.062200000000004
79,73.818
419,68.5167
868,59.272999999999996
784,59.544399999999996
800,112.73739999999998
162,59.9026
462,87.35920000000002
701,98.9263
14,56.590599999999995
1041,56.081199999999995
288,78.3305
366,70.6351
767,58.7569
609,68.32
177,59.60799999999999
829,56.1081
738,73.57199999999999
733,55.458600000000004
960,127.49759999999999
745,39.09110000000001
969,142.2253
933,91.1911
22,103.3816
681,84.0765
472,49.5811
31,59.5754
1111,77.3617
204,64.461
275,59.53419999999999
620,80.7492
183,59.853500000000004
560,108.43919999999999
403,71.4614
306,78.73519999999999
351,117.2112
15,56.87499999999999
1088,46.5411
1018,61.84890000000001
364,35.7806
479,112.1636
1089,49.367399999999996
687,71.62750000000001
249,75.00450000000001
338,45.52199999999999
166,77.4058
358,73.9297
97,76.10459999999999
92,51.67100000000001
522,63.59779999999999
52,92.3772
977,62.3126
789,55.9619
485,78.2299
253,89.0782
536,91.5494
180,61.07529999999999
163,101.61779999999999
480,84.5384
132,91.9964
677,42.5737
179,79.2928
81,57.87100000000001
636,82.23530000000001
952,115.04510000000002
440,85.54629999999999
32,53.1954
1016,75.0103
1053,43.8306
836,104.71579999999999
1036,58.1168
939,68.3676
617,71.78829999999999
997,69.18639999999999
387,44.7676
355,92.4349
918,59.606
786,76.0943
1019,86.6454
34,92.3532
576,131.36960000000002
49,96.468
805,101.7072
426,65.47540000000001
230,52.070699999999995
607,109.13230000000001
768,86.0172
137,101.1624
18,86.2553
497,55.888999999999996
844,76.6805
554,73.8896
837,74.8654
29,85.81429999999999
520,80.4998
1100,61.847899999999996
324,63.6338
396,76.76139999999998
834,106.38520000000001
565,117.28350000000002
131,46.622
582,71.336
571,96.99480000000001
613,88.14089999999999
10,57.2952
574,65.4739
156,86.5478
487,50.3574
158,91.5025
528,80.17269999999999
428,57.9923
1105,92.92450000000001
924,58.902499999999996
732,56.0701
720,84.2808
972,76.4268
242,97.83239999999999
964,79.2172
1038,77.4326
871,96.3497
354,88.6473
285,68.1567
916,69.04769999999999
706,77.80509999999998
441,86.01520000000001
1037,83.77680000000001
181,72.9546
47,63.4984
599,109.94249999999998
321,79.17380000000001
766,97.9927
845,74.32419999999999
1084,90.5003
453,78.79679999999999
637,74.0897
635,62.86090000000001
891,75.4915
1025,46.4452
1070,84.14590000000001
208,97.87910000000002
405,95.87950000000001
986,57.780800000000006
843,88.56360000000001
442,63.92240000000001
361,90.8835
862,65.97449999999999
93,83.83509999999998
848,88.086
46,66.7339
1066,99.8459
318,89.71579999999999
19,50.677400000000006
13,63.3004
530,91.97430000000001
1014,65.5064
580,56.9987
348,101.0836
675,71.1035
1008,67.2492
209,48.245000000000005
272,70.9868
439,71.7011
717,85.7247
980,49.604499999999994
883,67.9466
667,70.1278
240,68.561
102,97.60399999999998
988,70.8025
690,66.6437
140,68.0096
261,83.7919
149,55.2997
153,87.30100000000002
725,61.0746
984,57.5676
169,65.8578
770,95.89219999999999
775,77.74719999999999
127,65.05470000000001
539,53.1494
568,63.239599999999996
175,46.319900000000004
61,52.723699999999994
1096,83.90919999999998
592,39.963499999999996
734,58.966100000000004
369,69.529
752,62.3158
853,86.8028
299,78.0671
959,91.55590000000001
66,65.4776
8,95.2085
584,78.7937
340,79.59550000000002
412,87.6346
796,46.623000000000005
1026,70.2916
630,72.76310000000001
653,33.4014
1049,63.983900000000006
673,70.08749999999999
631,130.9642
119,59.942
660,97.28389999999999
468,76.682
1068,93.9966
59,88.90360000000001
216,62.46910000000001
762,78.57000000000002
1103,66.0853
335,70.23930000000001
850,80.13830000000002
941,76.8392
301,73.1016
1039,94.24970000000002
1078,73.3466
878,52.6688
1060,93.97540000000001
26,88.89260000000002
393,100.5446
670,59.049
236,52.36509999999999
852,118.8472
993,99.58479999999999
934,92.18650000000001
16,59.647400000000005
696,94.5606
254,77.7255
238,85.60649999999998
91,67.58930000000001
925,106.35129999999998
1033,110.30960000000002
751,59.78240000000001
867,58.9872
317,98.7997
893,52.2434
615,116.79370000000002
432,91.3985
67,86.83709999999999
310,59.8035
936,109.76679999999998
824,43.887100000000004
268,74.4172
118,53.7203
298,108.44610000000002
509,96.02239999999999
350,44.1217
155,67.7012
885,95.9879
244,79.269
518,114.3645
