minute,sum(bid_price)
2024-06-01 00:00,441.8823999999999
2024-06-01 00:01,433.00579999999997
2024-06-01 00:02,484.9848
2024-06-01 00:03,449.10209999999995
2024-06-01 00:04,543.8857
2024-06-01 00:05,551.9045
2024-06-01 00:06,483.2174
2024-06-01 00:07,531.4707
2024-06-01 00:08,451.3918
2024-06-01 00:09,532.358
2024-06-01 00:10,480.682
2024-06-01 00:11,571.3434000000001
2024-06-01 00:12,534.6374999999999
2024-06-01 00:13,507.8664
2024-06-01 00:14,549.2966
2024-06-01 00:15,502.79749999999996
2024-06-01 00:16,478.88829999999996
2024-06-01 00:17,428.67589999999996
2024-06-01 00:18,427.156
2024-06-01 00:19,555.4098
2024-06-01 00:20,499.82070000000004
2024-06-01 00:21,493.43680000000006
2024-06-01 00:22,489.79979999999995
2024-06-01 00:23,465.6819
2024-06-01 00:24,416.1029000000001
2024-06-01 00:25,498.9598
2024-06-01 00:26,483.8542
2024-06-01 00:27,535.8344
2024-06-01 00:28,503.1951000000001
2024-06-01 00:29,519.2326
2024-06-01 00:30,583.5274
2024-06-01 00:31,605.4912
2024-06-01 00:32,502.0273
2024-06-01 00:33,527.8059000000001
2024-06-01 00:34,496.3924
2024-06-01 00:35,518.2407
2024-06-01 00:36,371.8026
2024-06-01 00:37,594.8496
2024-06-01 00:38,485.13790000000006
2024-06-01 00:39,484.5065
2024-06-01 00:40,516.7896
2024-06-01 00:41,520.2219
2024-06-01 00:42,447.58360000000005
2024-06-01 00:43,494.78459999999995
2024-06-01 00:44,546.8396
2024-06-01 00:45,492.96509999999995
2024-06-01 00:46,449.8984
2024-06-01 00:47,473.00329999999997
2024-06-01 00:48,449.70689999999996
2024-06-01 00:49,511.24949999999995
2024-06-01 00:50,385.48380000000003
2024-06-01 00:51,469.9826
2024-06-01 00:52,453.16009999999994
2024-06-01 00:53,477.6367
2024-06-01 00:54,588.3584000000001
2024-06-01 00:55,490.94839999999994
2024-06-01 00:56,466.3995
2024-06-01 00:57,519.505
2024-06-01 00:58,531.0101
2024-06-01 00:59,565.0273
2024-06-01 01:00,479.2819999999999
2024-06-01 01:01,473.80150000000003
2024-06-01 01:02,440.98830000000004
2024-06-01 01:03,535.4195000000001
2024-06-01 01:04,529.648
2024-06-01 01:05,513.0249
2024-06-01 01:06,434.52920000000006
2024-06-01 01:07,470.00269999999995
2024-06-01 01:08,532.7165
2024-06-01 01:09,647.6171
